,_id,title,anti_ad,narrative,happy_tone,min_male,white_female,min_female,prod_quality,humor,stft,vibrance,written_text,anti_trump,celebrity,politician,look_at_camera,show_children,white_male,duration,n_words,spoken_words
87,5ad7d3c623a9b5d7aec16c1d, Expletive-filled interest,,,1,1,,1,,,2.8968813406076044,3305.948320627313,"['We', 'heard', ""there's"", 'been', 'some', 'We', 'heard', ""there's"", 'been', 'some', 'expletive-fi', 'We', 'heard', ""there's"", 'been', 'some', 'expletive-fi', 'in', 'these', 'beautiful', 'destinations', 'in', 'these', 'beautiful', 'destinations', 'in', 'these', 'beautiful', 'destinations', 'HAIT', 'SALYAD', 'EL', 'SALVADOR', 'EL', 'SALVADOR', 'nd', 'of', 'course', 'FRICA', 'AFRICA', 'AERIC', 'All', 'of', 'it', 'AFRICA', 'All', 'of', 'it)', 'We', 'also', 'know', 'a', 'few', 'people', 'We', 'also', 'know', 'a', 'few', 'people', 'We', 'also', 'know', 'people', 'who', 'would', 'love', 'to', 'show', 'you', 'around', 'who', 'would', 'love', 'to', 'show', 'you', 'around', ""Let's"", 'open', 'doors', ""Let's"", 'open', 'doors', ""Let's"", 'open', 'doors', 'Not', 'build', 'walls', 'Not', 'build', 'walls', '#we', 'accept', '#weaccept', 'airbnb', '#weaccept', 'airbnb']",,,,1,,,30,0,
78,5ad7d3c723a9b5d7aec16cda,2066 — The Greens,,,1,,1,,,,2.7280479780342564,755.4424014672978,"['THE', 'GREENS', 'THE', 'GREENS', 'THE', 'GREENS', 'THE', 'GREENS', 'THE', 'GREENS', 'THE', 'GREENS', 'THE', 'GREENS', 'THE', 'GREENS', ‘114L.B’, 'tatesA', 'Government', 'of', 'South', 'Australia', 'tatesA', 'Government', 'of', 'South', 'Australia', 'tateSA', 'Government', 'of', 'South', 'Australia', 'ABTS', 'rts', 'and', 'Design', 'CAR', 'PARK', 'NG', 'UP', 'AT', 'RS', 'THE', 'GREENS', 'Authorised', 'by', 'D.', 'Mugavin', 'for', 'The', 'Greens', 'Authorised', 'by', 'D.', 'Mugavin', 'for', 'The', 'Greens', 'Authorised', 'by', 'D.', 'Mugavin', 'for', 'The', 'Greens', 'Authorised', 'by', 'D.', 'Mugavin', 'for', 'The', 'Greens', 'Authorised', 'by', 'D.', 'Mugavin', 'for', 'The', 'Greens', 'Authorised', 'by', 'D.', 'Mugavin', 'for', 'The', 'Greens']",,,1,1,,,31,29,"[""Green's"", 'appliances', 'AccuWeather', 'River', 'Mary', 'and', 'to', 'protect', 'the', 'Quran', 'and', 'lowlights', 'beside', ‘type’, 'authorized', 'by', 'Dominic', 'McGavin', 'for', 'the', 'grains', 'Adelaide', 'spoken', 'by', 'Tammy', 'Franks', 'and', 'James', 'Armstrong']"
72,5ad7d3c723a9b5d7aec16c9f,5 new tax deductions,1,,1,,,,1,1,2.8934274286872586,472.3085526516951,"['DF', '55911486A', 'FG', '69104412', '07', 'FG12860', '67', '5', 'new', 'tax', 'deductions', 'only', 'an', 'idiot', 'woul', '5', 'new', 'tax', 'deductions', 'only', 'an', 'idiot', 'woul', '5', 'new', 'tax', 'deductions', 'only', 'an', 'idiot', 'woul', 'Flickr/William', 'Warb', 'nm', '#1', ':', 'Switch', 'your', 'Flickr/William', 'Warb', 'tn', '#1', ':', 'Switch', 'your', 'Flickr/William', 'Warby', '#1:', 'Switch', 'your', 'pr', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', '#2:', 'Send', 'the', 'kids', 'to', 'boarding', 'school', '#2:', 'Send', 'the', 'kids', 'to', 'boarding', 'school', 'Tuition', 'might', 'be', 'pricey', 'but', 'now', 'you', 'can', 'Tuition', 'might', 'be', 'pricey', 'but', 'now', 'you', 'can', 'Tuition', 'might', 'be', 'pricey', 'but', 'now', 'you', 'can', '#3:', 'Inherit', 'more', 'from', 'Grandfather', '#3:', 'Inherit', 'more', 'from', 'Grandfather', 'Now', 'heirs', 'and', 'heiresses', 'can', 'grab', 'up', 'to', 'Now', 'heirs', 'and', 'heiresses', 'can', 'grab', 'up', 'to', 'Now', 'heirs', 'and', 'heiresses', 'can', 'grab', 'up', 'to', 'Go', 'ahead!', 'Grandfather', 'earned', 'it', 'Go', 'ahead!', 'Grandfather', 'earned', 'it', 'Go', 'ahead!', 'Grandfather', 'earned', 'it', 'an', '#4:', 'Make', 'more', 'than', '$500,000', 'per', 'year', '#4:', 'Make', 'more', 'than', '$500,000', 'per', 'year', '#4:', 'Make', 'more', 'than', '$500,000', 'per', 'year', 'Want', 'the', 'biggest', 'cut?', 'Make', 'the', 'biggest', 'Want', 'the', 'biggest', 'cut?', 'Make', 'the', 'biggest', 'Want', 'the', 'biggest', 'cut?', 'Make', 'the', 'biggest', 'Want', 'the', 'biggest', 'cut?', 'Make', 'the', 'biggest', '#5:', 'Become', 'a', 'pass-through', 'corporation', '#5:', 'Become', 'a', 'pass-through', 'corporation', 'One', 'call', 'to', 'your', 'money', 'manager', 'could', 'sa', 'One', 'call', 'to', 'your', 'money', 'manager', 'could', 'sa', 'One', 'call', 'to', 'your', 'money', 'manager', 'could', 'sa', 'One', 'call', 'to', 'your', 'money', 'manager', 'could', 'sa', 'Especially', 'if', 'your', 'portfolio', 'is', 'real-es', 'Especially', 'if', 'your', 'portfolio', 'is', 'real-es', 'Especially', 'if', 'your', 'portfolio', 'is', 'real-es', 'C-SPAN', 'The', 'Republican', 'Tax', 'Bill', 'is', 'the', 'l', 'SPAN', 'The', 'Republican', 'Tax', 'Bill', 'is', 'the', 'law', 'C-SPAN', 'The', 'Republican', 'Tax', 'Bill', 'is', 'the', 'l', 'C-SPAN', 'The', 'Republican', 'Tax', 'Bill', 'is', 'the', 'l']",,1,1,,,1,50,0,
18,5ad7d3c623a9b5d7aec16c57,5 Tax Breaks,1,,1,,,,1,1,2.8895387594619044,387.0517376950631,"['BG', '52463322', 'A', 'FB3', 'FC', '69104412A', 'G7', 'DF', '55', '5', 'new', 'tax', 'deductions', 'only', 'an', 'idiot', 'woul', '5', 'new', 'tax', 'deductions', 'only', 'an', 'idiot', 'woul', '5', 'new', 'tax', 'deductions', 'only', 'an', 'idiot', 'woul', 'Flickr/William', 'Warby', '#1', ':', 'Switch', 'your', 'p', 'Flickr/William', 'Warby', 'L', 'KKNIM', 'Il', '#1', ':', 'Sw', 'Flickr/William', 'Warby', 'er', '#1', ':', 'Switch', 'you', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', 'State', 'and', 'local', 'deductions', 'are', 'being', 'cu', '#2:', 'Send', 'the', 'kids', 'to', 'boarding', 'school', '#2:', 'Send', 'the', 'kids', 'to', 'boarding', 'school', 'off', 'Tuition', 'might', 'be', 'pricey', 'but', 'now', 'you', 'can', 'Tuition', 'might', 'be', 'pricey', 'but', 'now', 'you', 'can', 'Tuition', 'might', 'be', 'pricey', 'but', 'now', 'you', 'can', '#3:', 'Inherit', 'more', 'from', 'Grandfather', '#3:', 'Inherit', 'more', 'from', 'Grandfather', 'Now', 'heirs', 'and', 'heiresses', 'can', 'grab', 'up', 'to', 'Now', 'heirs', 'and', 'heiresses', 'can', 'grab', 'up', 'to', 'Now', 'heirs', 'and', 'heiresses', 'can', 'grab', 'up', 'to', '3', 'Go', 'ahead!', 'Grandfather', 'earned', 'it', 'Go', 'ahead!', 'Grandfather', 'earned', 'it', 'Go', 'ahead', 'Grandfather', 'earned', 'it', 'an', '#4:', 'Make', 'more', 'than', '$500,000', 'per', 'year', '#4:', 'Make', 'more', 'than', '$500,000', 'per', 'year', '#4:', 'Make', 'more', 'than', '$500,000', 'per', 'year', 'Want', 'the', 'biggest', 'cut?', 'Make', 'the', 'biggest', 'Want', 'the', 'biggest', 'cut?', 'Make', 'the', 'biggest', 'Want', 'the', 'biggest', 'cut?', 'Make', 'the', 'biggest', 'Want', 'the', 'biggest', 'cut?', 'Make', 'the', 'biggest', '#5:', 'Become', 'a', 'pass-through', 'corporation', '#5:', 'Become', 'a', 'pass-through', 'corporation', 'One', 'call', 'to', 'your', 'money', 'manager', 'could', 'sa', 'One', 'call', 'to', 'your', 'money', 'manager', 'could', 'sa', 'One', 'call', 'to', 'your', 'money', 'manager', 'could', 'sa', 'One', 'call', 'to', 'your', 'money', 'manager', 'could', 'sa', 'Especially', 'if', 'your', 'portfolio', 'is', 'real-es', 'Especially', 'if', 'your', 'portfolio', 'is', 'real-es', 'Especially', 'if', 'your', 'portfolio', 'is', 'real-es', 'C-SPAN', 'The', 'Republican', 'Tax', 'Bill', 'is', 'the', 'l', 'C-SPAN', 'The', 'Republican', 'Tax', 'Bill', 'is', 'the', 'l', 'C-SPAN', 'The', 'Republican', 'Tax', 'Bill', 'is', 'the', 'l', 'C-SPAN', 'The', 'Republican', 'Tax', 'Bill', 'is', 'the', 'l', 'SHARE', 'THIS', 'VIDEO', 'if', 'you', 'wish', 'the', 'tax', 'bi', 'SHARE', 'THIS', 'VIDEO', 'if', 'you', 'wish', 'the', 'tax', 'bi', 'SHARE', 'THIS', 'VIDEO', 'if', 'you', 'wish', 'the', 'tax', 'bi', 'SHARE', 'THIS', 'VIDEO', 'if', 'you', 'wish', 'the', 'tax', 'bi', 'SHARE', 'THIS', 'VIDEO', 'if', 'you', 'wish', 'the', 'tax', 'bi', 'SHARE', 'THIS', 'VIDEO', 'if', 'you', 'wish', 'the', 'tax', 'bi']",,1,1,,,1,55,0,
102,5b1558b7acaa480004711efc,Abigail Disney,1,1,1,,1,,,,2.7879328025557624,117.30012741593241,"['THIS', 'DISNEY', 'HEIRESS', 'IS', 'MAKING', 'A', 'FORTUN', 'My', 'name', 'is', 'Abigail', 'Disney', 'My', 'name', 'is', 'Abigail', 'Disney.', 'Now', ""I'm"", 'just', 'going', 'to', 'answer', 'your', 'nex', 't', 'Now', ""I'm"", 'just', 'going', 'to', 'answer', 'your', 'next', 'Now', ""I'm"", 'just', 'going', 'to', 'answer', 'your', 'next', 'Yes,', 'I', 'am', 'related', 'Yes,', 'I', 'am', 'related.', 'Yes,', 'I', 'do', 'get', 'into', 'Disnevland', 'for', 'free.', 'Yes,', 'I', 'do', 'get', 'into', 'Disnevland', 'for', 'free.', ""he's"", 'not', 'frozen.', 'My', 'grandfather', 'Roy', 'and', 'my', 'great-uncle', 'W', 'My', 'grandfather', 'Roy', 'and', 'my', 'great-uncle', 'W', 'My', 'grandfather', 'Roy', 'and', 'my', 'great-uncle', 'W', 'came', 'trom-near', 'total', 'povert)y', 'and', 'started', 'The', 'Walt', 'Disney', 'Company', 'and', 'sterted', 'he', 'Walt', 'Disney', 'Company', 'They', 'made', 'a', 'lotof', 'money.', 'They', 'gave', 'some', 'of', 'that', 'money', 'to', 'my', 'dad', 'They', 'gave', 'some', 'of', 'that', 'money', 'to', 'my', 'dad', 'and', 'then', 'my', 'dad', 'gave', 'it', 'to', 'me', 'and', 'then', 'my', 'dad', 'gave', 'it', 'to', 'me.', 'I', 'did', 'not', 'do', 'anything', 'to', 'earn', 'that', 'hone', 'I', 'did', 'not', 'do', 'anything', 'to', 'earn', 'that', 'mone', 'I', 'did', 'not', 'do', 'anything', 'to', 'earn', 'that', 'hone', 'be', 'And', 'yet,', 'I', 'just', 'got', 'huge', 'from', 'Congress', 'You', 'might', 'have', 'heard', 'it', 'called', 'a', '‘tax', 'c', 'You', 'might', 'have', 'heard', 'it', 'called', 'a', '‘tax', 'c', 'And', 'yes,', 'it', 'is', 'a', 'very', 'fat', 'tax', 'cut', 'And', 'yes,', 'it', 'is', 'a', 'very', 'fat', 'tax', 'cut', 'for', 'me', 'your', 'income', 'is', 'going', 'to', 'be', 'taxe', 'your', 'income', 'is', 'going', 'to', 'be', 'taxe', 'at', 'a', 'higher', 'rate', 'than', 'mine', 'at', 'a', 'higher', 'rate', 'than', 'mine', 'once', 'I', 'set', 'up', 'a', 'pass-through', 'corporatio', 'once', 'I', 'set', 'up', 'a', 'pass-through', 'corporatio', 'once', 'I', 'set', 'up', 'a', 'pass-through', 'corporatio', 'It', 'will', 'let', 'me', 'pass', 'over', '$20', 'million', 'It', 'will', 'let', 'mepass', 'over', '$20', 'million', 'It', 'will', 'let', 'me', 'pass', 'over', '$20', 'million', 'along', 'to', 'my', 'children,', 'tax', 'free.', 'along', 'to', 'my', 'children,', 'tax', 'free.', 'And', 'all', 'my', 'friends', 'with', 'private', 'jets?', 'And', 'all', 'my', 'friends', 'with', 'private', 'jets?', 'They', 'get', 'a', 'tax', 'cut', 'too.', 'They', 'get', 'a', 'tax', 'cut', 'too.', 'know', 'we', 'heard', 'that', 'the', 'swamp', 'was', 'gettin', 'know', 'we', 'heard', 'that', 'the', 'swamp', 'was', 'gettin', 'know', 'we', 'heard', 'that', 'the', 'swamp', 'was', 'gettin', 'but', 'given', 'how', 'this', 'bill', 'was', 'written,', 'but', 'given', 'how', 'this', 'bill', 'was', 'written,', 'I', 'think', ""it's"", 'lookin', 'a', 'lot', 'like', 'a', 'nightm', 'lI', 'think', ""it's"", 'lookin', 'a', 'lot', 'like', 'a', 'night', 'Pirates', 'of', 'the', 'Caribbean.', 'Share', 'if', 'you', 'think', 'the', 'rich', ""didn't"", 'need', 'Share', 'if', 'you', 'thinkk', 'the', 'rich', ""didn't"", 'nee', 'Share', 'if', 'you', 'think', 'the', 'rich', ""didn't"", 'need', 'Share', 'if', 'you', 'think', 'the', 'rich', ""didn't"", 'need']",,,,1,,,59,200,"['my', 'name', 'is', 'Abigail', 'to', 'speak', 'now', ""I'm"", 'just', 'going', 'to', 'answer', 'your', 'next', 'three', 'questions', 'before', 'you', 'ask', 'them', 'yes', 'I', 'am', 'elated', 'yes', 'I', 'do', 'get', 'into', 'Disneyland', 'for', 'free', 'and', 'no', ""he's"", 'not', 'frozen', 'my', 'grandfather', 'and', 'my', 'great', 'aunt', 'came', 'from', 'near-total', 'poverty', 'start', 'of', 'the', 'Walt', 'Disney', 'Company', 'they', 'made', 'a', 'lot', 'of', 'money', 'they', 'gave', 'some', 'of', 'that', 'money', 'to', 'my', 'dad', 'and', 'then', 'my', 'dad', 'gave', 'it', 'to', 'me', 'I', 'did', 'not', 'do', 'anything', 'to', 'earn', 'that', 'money', 'and', 'yet', ""I'm"", 'about', 'to', 'get', 'a', 'huge', 'hand', 'out', 'from', 'Congress', 'you', 'might', 'have', 'heard', 'it', 'called', 'a', 'tax', 'cut', 'and', 'yes', ""it's"", 'a', 'very', 'fat', 'tax', 'cut', 'for', 'me', 'your', 'income', 'is', 'probably', 'going', 'to', 'be', 'taxed', 'at', 'a', 'higher', 'rate', 'than', 'mine', 'once', 'I', 'set', 'up', 'a', 'pastor', 'Corporation', 'to', 'send', 'it', 'through', 'it', 'will', 'let', 'me', 'pass', 'over', '20', 'million', 'dollars', 'along', 'to', 'my', 'children', 'tax', 'free', 'and', 'all', 'my', 'friends', 'with', 'private', 'jets', 'they', 'get', 'a', 'tax', 'cut', 'too', 'I', 'know', 'we', 'heard', 'that', 'the', 'swamp', 'was', 'getting', 'dreads', 'but', 'given', 'how', 'this', 'bill', 'was', 'written', 'I', 'think', ""it's"", 'looking', 'a', 'lot', 'like', 'a', 'nightmare', 'for', 'Pirates', 'of', 'the', 'Caribbean']"
63,5ad7d3c723a9b5d7aec16cb8,American Dreamers,,,,,1,,1,,2.755637034342416,357.44551428582025,"['Did', 'you', 'know', 'these', '6', 'facts', 'about', 'Did', 'you', 'know', 'these', '6', 'facts', 'about', 'Dreame', 'Did', 'you', 'know', 'these', '6', 'facts', 'about', 'Dreame', 'Did', 'you', 'know', 'these', '6', 'facts', 'about', 'Dreame', '1.', 'They', 'were', 'brought', 'here', '1.', 'They', 'were', 'brought', 'here', 'as', 'children', 'a', '1.', 'They', 'were', 'brought', 'here', 'as', 'children', 'a', '1.', 'They', 'were', 'brought', 'here', 'as', 'children', 'a', '2.', 'One', 'in', 'four', '2.', 'One', 'in', 'four', 'have', 'a', 'child', ""who's"", 'an', 'Am', '2.', 'One', 'in', 'four', 'have', 'a', 'child', ""who's"", 'an', 'Am', '2.', 'One', 'in', 'four', 'have', 'a', 'child', ""who's"", 'an', 'Am', '3.', 'Nearly', '1,000', 'serve', 'in', 'the', 'American', '3.', 'Nearly', '1,000', 'serve', 'in', 'the', 'American', 'm', '3.', 'Nearly', '1,000', 'serve', 'in', 'the', 'American', 'm', '4.', 'Thev', 'start', 'small', '4.', 'They', 'start', 'small', 'businesses', 'at', 'twice', '4.', 'They', 'start', 'small', 'businesses', 'at', 'twice', '4.', 'They', 'start', 'small', 'businesses', 'at', 'twice', '4.', 'They', 'start', 'small', 'businesses', 'at', 'twice', '5.', '20,000', 'teach', 'in', 'our', 'schools.', '5.', '20,000', 'teach', 'in', 'our', 'schools', '5.', '20,000', 'teach', 'in', 'our', 'schools.', '5.', '20,000', 'teach', 'in', 'our', 'schoolsj', '6.', ""They'll"", 'contribute', 'half', 'a', 'trillion', 'd', '6.', ""They'll"", 'contribute', 'half', 'a', 'trillion', 'd', '6.', ""They'll"", 'contribute', 'half', 'a', 'trillion', 'd', '6.', ""They'll"", 'contribute', 'half', 'a', 'trillion', 'd', '6.', ""They'll"", 'contribute', 'half', 'a', 'trillion', 'd', '6.', ""They'll"", 'contribute', 'half', 'a', 'trillion', 'd', 'They', 'love', 'this', 'country', '2', 'They', 'love', 'this', 'country.', 'And', ""they're"", 'as', 'They', 'love', 'this', 'country', 'And', ""they're"", 'as', 'A', 'They', 'love', 'this', 'country-', 'And', ""they're"", 'as', ""Shouldn't"", 'we', 'stand', 'up', 'for', 'our', 'fellow', 'Am', ""Shouldn't"", 'we', 'stand', 'up', 'for', 'our', 'fellow', 'Am', ""Shouldn't"", 'we', 'stand', 'up', 'for', 'our', 'fellow', 'Am', ""Shouldn't"", 'we', 'stand', 'up', 'for', 'our', 'fellovw', 'A', ""Shouldn't"", 'we', 'stand', 'up', 'for', 'our', 'fellow', 'Am', ""Shouldn't"", 'we', 'stand', 'up', 'for', 'our', 'telloW', 'Am', 'are', 'This', 'Video', 'This', 'Video', 'Share', 'This', 'Video', 'This', 'Video', 'Share', 'This', 'video', 'Sharê', 'This', 'Video', 'Share', '20', 'Shere', 'This', 'Video', 'Share', 'This', 'Video']",,,,1,,,50,1,['wow']
103,5b1558efacaa480004711efd,Angry Young Man,1,1,,,,,,,2.742249751310705,169.2674521267361,"['Folks,', 'you', 'know,', 'a', 'lot', 'of', 'people', 'know', 'v', 'Folks,', 'you', 'know,', 'a', 'lot', 'of', 'people', 'know', 'v', 'Folks,', 'you', 'know,', 'a', 'lot', 'of', 'people', 'know', 'r', ""Here's"", 'the', 'truth,', 'alright.', ""Here's"", 'the', 'truth,', 'alright.', 'So', 'Trump', 'comes', 'in', 'and', 'says', 'you', 'know', 'wha', 'So', 'Trump', 'comes', 'in', 'and', 'says', 'you', 'know', 'wha', ""I'm"", 'gonna', 'bring', 'coal', 'miner', 'jobs', 'back.', ""I'm"", 'gonna', 'bring', 'coal', 'miner', 'jobs', 'back.', 'None', 'of', 'it', 'happens.', 'None', 'of', 'it', 'happens.', 'You', 'have', 'all', 'of', 'these', 'politicians', 'that', 'You', 'have', 'all', 'of', 'these', 'politicians', 'that', 'You', 'have', 'all', 'of', 'these', 'politicians', 'that', 'And', 'they', 'say', 'these', 'things', 'because', ""they'"", 'And', 'they', 'say', 'these', 'things', 'because', ""they'"", 'And', 'they', 'say', 'these', 'things', 'because', ""they'"", 'And', 'they', 'say', 'these', 'things', 'because', ""they'"", 'By', 'lobbyists', 'for', 'this', 'company,', 'lobbyist', 'By', 'lobbyists', 'for', 'this', 'company,', 'lobbyist', 'By', 'lobbyists', 'for', 'this', 'company,', 'lobbyist', 'And', 'we', 'vote', 'for', 'them', 'because', 'we', 'believe', 'And', 'we', 'vote', 'for', 'them', 'because', 'we', 'believe', 'Because', 'at', 'the', 'end', 'of', 'the', 'day', 'We', 'want', 'our', 'lives', 'to', 'be', 'fixed', 'to', 'be', 'bet', 'We', 'want', 'our', 'lives', 'to', 'be', 'fixed', 'to', 'be', 'bet', 'We', 'want', 'our', 'lives', 'to', 'be', 'fixed', 'to', 'be', 'bet', 'Our', 'roads', 'to', 'be', 'cleaner,', 'our', 'food', 'to', 'be', 'Our', 'roads', 'to', 'be', 'cleaner,', 'our', 'food', 'to', 'be', 'Our', 'roads', 'to', 'be', 'cleaner,', 'our', 'food', 'to', 'be', 'And', 'instead,', 'the', 'complete', 'opposite', 'happ', 'And', 'instead,', 'the', 'complete', 'opposite', 'happ', 'This', 'is', 'all', 'a', 'shamm,', 'This', 'is', 'all', 'a', 'shamm,', 'This', 'is', 'all', 'a', 'shamm,', 'This', 'is', 'all', 'a', 'sham,', 'Bought', 'and', 'paid', 'for', 'by', 'Bought', 'and', 'paid', 'for', 'by', 'Bought', 'and', 'paid', 'for', 'by', 'Honestly,', 'a', 'handful', 'of', 'corporations.', 'Honestly,', 'a', 'handful', 'of', 'corporations.', 'Honestly,', 'a', 'handful', 'of', 'corporations.', ""It's"", 'like', '12', 'people', 'running', 'America', 'rig', ""It's"", 'like', '12', 'people', 'running', 'America', 'rig', ""It's"", 'rigged,', ""it's"", 'a', 'game,', 'and', ""we're"", 'los', ""It's"", 'rigged,', ""it's"", 'a', 'game,', 'and', ""we're"", 'los', 'SHARE', 'THIS', 'VIDEO', 'If', 'you', 'want', 'greedy', 'cor', 'SHARE', 'THIS', 'VIDEO', 'If', 'you', 'want', 'greedy', 'cor', 'SHARE', 'THIS', 'VIDEO', 'If', 'you', 'want', 'greedy', 'cor']",1,,,1,,1,48,26,"['bought', 'and', 'paid', 'for', 'by', 'honestly', 'I', ""can't"", 'for', 'the', 'corporation', ""it's"", 'like', '12', 'people', 'running', 'America', 'right', 'now', ""it's"", 'a', 'game', 'and', ""we'll"", 'lose', 'it']"
134,5b65eaa1d68aca00040a9c0b,anthem,1,,,1,1,1,1,,2.7494560176410117,236,"['MARRIAGE', 'DOOM', 'IERS', 'AG', 'ARRIAGE', 'GOD', 'KATES', 'MS', 'GOD', 'FAGS', 'COM', 'oMOURN', 'YOUR', 'SINS', 'CAUSED', 'PLEASE']",,,,,,1,34,65,"[""they're"", 'scared', 'of', 'us', 'they', 'know', ""we're"", 'coming', 'for', 'them', 'the', 'Old', 'Guard', 'the', 'racist', 'the', 'bigots', 'nass', 'incarcerator', 'is', 'the', 'homophobes', 'the', 'bought', 'out', 'by', 'corporations', 'with', 'too', 'much', 'money', 'and', 'too', 'much', 'power', 'they', 'try', 'to', 'ruin', 'Healthcare', 'Education', 'Human', 'Rights', 'the', 'freedom', 'of', 'the', 'internet', 'the', 'environment', 'our', 'future', 'and', ""it's"", 'not', 'because', 'they', ""don't"", 'care', 'about', 'our', 'generation', 'oh', 'they', 'can']"
135,5b65eaa1d68aca00040a9c0b,anthem,1,,,1,1,1,1,,2.7494560176410117,236.40698403087364,"['MARRIAGE', 'DOOM', 'IERS', 'AG', 'ARRIAGE', 'GOD', 'KATES', 'MS', 'GOD', 'FAGS', 'COM', 'oMOURN', 'YOUR', 'SINS', 'CAUSED', 'PLEASE']",,,,,,1,34,65,"[""they're"", 'scared', 'of', 'us', 'they', 'know', ""we're"", 'coming', 'for', 'them', 'the', 'Old', 'Guard', 'the', 'racist', 'the', 'bigots', 'nass', 'incarcerator', 'is', 'the', 'homophobes', 'the', 'bought', 'out', 'by', 'corporations', 'with', 'too', 'much', 'money', 'and', 'too', 'much', 'power', 'they', 'try', 'to', 'ruin', 'Healthcare', 'Education', 'Human', 'Rights', 'the', 'freedom', 'of', 'the', 'internet', 'the', 'environment', 'our', 'future', 'and', ""it's"", 'not', 'because', 'they', ""don't"", 'care', 'about', 'our', 'generation', 'oh', 'they', 'can']"
52,5ad7d3c623a9b5d7aec16c58,Autobarn Minimum Wage,,1,1,,,,,,2.759345019584878,180.2138330839257,"['0', 'PARIS', 'AUTOBARN', 'Adam', 'and', 'Istarted', 'our', 'repair', 'shop', 'a', 'few', 'PARIS', 'Adam', 'and', 'I', 'started', 'our', 'repair', 'sho', '744-21', '744-2165', 'Adam', 'andt', 'started', 'our', 'r', '308', 'And', 'just', 'recently', 'hired', 'our', 'first', 'e', 'PAPE', 'SUBARU', 'suga', 'And', 'just', 'recently', 'hire', 'Nobody', 'should', 'work', 'full', 'time', 'and', 'have', 't', 'Nobody', 'should', 'work', 'full', 'time', 'and', 'have', 't', 'By', 'raising', 'the', 'minimum', 'Nobody,shoüldawo', 'By', 'raising', 'the', 'minimum', 'wage,', ""we'll"", 'help', 'By', 'raising', 'the', 'minimum', 'wage,', ""we'll"", 'help', 'By', 'raising', 'the', 'minimum', 'wage,', ""we'll"", 'help', 'By', 'raising', 'the', 'minimum', 'wage', 'we', 'lchelp', 'f', 'and', 'put', 'more', 'money', 'in', 'their', 'pockets.', 'and', 'put', 'more', 'money', 'in', 'their', 'pockets.', ""That'll"", 'help', 'small', 'businesses,', 'strength', ""That'll"", 'help', 'small', 'businesses,', 'strength', ""That'll"", 'help', 'small', 'businesses,', 'strength', 'SHARE', 'THIS', 'VIDEO', 'If', 'you', 'want', 'a', 'stronger', 'SHARE', 'THIS', 'VIDEO', 'If', 'you', 'want', 'a', 'stronger', 'SHARE', 'THIS', 'VIDEO', 'If', 'you', 'want', 'a', 'stronger']",,,,,,1,21,59,"['Adam', 'and', 'I', 'started', 'our', 'repair', 'shop', 'a', 'few', 'years', 'ago', 'and', 'just', 'recently', 'hired', 'our', 'first', 'employee', 'nobody', 'should', 'work', 'full', 'time', 'and', 'have', 'to', 'live', 'in', 'poverty', 'by', 'raising', 'the', 'minimum', 'wage', 'will', 'help', 'families', 'make', 'ends', 'meet', 'and', 'put', 'more', 'money', 'in', 'their', 'pockets', 'that', 'will', 'help', 'small', 'businesses', 'strengthen', 'our', 'communities', 'and', 'boost', 'our', 'economy']"
